sep=,
#,Player,Team,GP,%Time,Poss,Pts,PPP,FG Miss,FG Made,FG Att,FG%,eFG%,TO%,%FT,%SF,Score%
1,"Jared Brown","Westmont Warriors",27,70.5,153,189,1.235,90,63,153,41.2,61.8,0,0,0,41.2
2,"Nate Meithof","Westmont Warriors",26,71.5,158,175,1.108,100,54,154,35.1,52.6,0,5.1,5.1,36.7
3,"Jalen Townsell","Westmont Warriors",27,94.7,124,126,1.016,82,42,124,33.9,50.8,0,0,0,33.9
4,"Cade Roth","Westmont Warriors",20,84.8,95,123,1.295,54,39,93,41.9,62.9,0,2.1,2.1,43.2
5,"Ajay Singh","Westmont Warriors",25,59.4,60,66,1.1,38,22,60,36.7,55,0,0,0,36.7
6,"Tyler Austin","Westmont Warriors",27,82.4,28,24,0.857,20,8,28,28.6,42.9,0,0,0,28.6
6,"Cly Griffith","Westmont Warriors",12,44.2,19,24,1.263,11,8,19,42.1,63.2,0,0,0,42.1
8,"Sebastian Reynoso","Westmont Warriors",25,87.5,21,16,0.762,15,5,20,25,37.5,0,4.8,4.8,28.6
9,"Kyler Warren","Westmont Warriors",26,87.5,14,6,0.429,12,2,14,14.3,21.4,0,0,0,14.3
